,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,icon,id,name,opening_hours.open_now,photos,place_id,plus_code.compound_code,plus_code.global_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity
0,50.920733,6.959897300000001,50.92207132989273,6.961154629892722,50.91937167010729,6.958454970107279,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,3b03581614cd6e5ceb5488210dfb3144ec818636,Mangal Döner,False,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109757296511141330485/photos"">ut E</a>'], 'photo_reference': 'CmRaAAAApchoUXDb8Pk4aZEZTEHIL1ptem0mcaw8LVuXgzKoHTTSJ6avwLgp_wWT_EKmqb1k2arv_IsZ5li8Uo9-6vCoFsQ-rb2WIQTjgWLmjBQ7spJeEKR8SeNm5NWzkN9G2CzbEhCmLPZoOFNpOlpydF-qfMG0GhTNIPmBKFjchbD9i2-EUbKzzzeYlQ', 'width': 2268}]",ChIJe_tOsEgkv0cRlw-ujxBLkZ4,"WXC5+7X Cologne, Germany",9F28WXC5+7X,,4.3,ChIJe_tOsEgkv0cRlw-ujxBLkZ4,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",800,"Bonner Str. 1, Köln"
1,50.941603,6.9560328,50.94301597989272,6.957378629892722,50.94031632010728,6.954678970107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,d1109909fbf108e73883d73443361cf6f090a728,Dome Döner,True,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108298392510825711335/photos"">Zach Stanford</a>'], 'photo_reference': 'CmRaAAAAl5HAQmWhY1rPwTgtMyMrnXHEVH3tMn6Luj0MuQLGV__e8dXR2jknNGUv8WG2jKcSZZONagXRtu7He5X3-onLHDUhpk2T9pp0Fg-_P0AvS4PNQvcsqom59XKiO_dH5LPSEhAoet3OOWhQ5NTZhkqCZucGGhRnUJvWR64m_F5fDkVTIoMp_cc3Cg', 'width': 3024}]",ChIJIeL7ZqUlv0cRcCUMQM8XNt0,"WXR4+JC Cologne, Germany",9F28WXR4+JC,,3.2,ChIJIeL7ZqUlv0cRcCUMQM8XNt0,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",203,"Komödienstraße 3, Köln"
2,50.9748776,7.0136147,50.97617712989272,7.015031079892721,50.97347747010728,7.012331420107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,ee4953c20a764f1979e629d73bab0e2f5624edbf,By Memo Döner & Pizzaria,False,"[{'height': 5984, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101288109646911092015/photos"">Björn Kügler</a>'], 'photo_reference': 'CmRaAAAASVu2TsWNg_WqY6S09ULzTm6B7fZ3gPGfNhxbOptqW02T9KALVbj8SokPpyx8PgX1m300kHWh-fPBkWu7XwMTLfY3BgAN0ZIznEWhMY0B3zjCN2b-zymaqQM4QDKaUohNEhAa2Wh6rMAouWM57a4wsb4CGhT1fEYOrS00uBfNyEyVBSo5J9iRrg', 'width': 3366}]",ChIJuW_OsK4ov0cROaT9M27FVXc,"X2F7+XC Cologne, Germany",9F29X2F7+XC,1.0,4.5,ChIJuW_OsK4ov0cROaT9M27FVXc,GOOGLE,"['restaurant', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",165,"Berliner Str. 131, Köln"
3,50.9370442,6.9499683,50.93838967989272,6.951362929892722,50.93569002010727,6.948663270107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,e7a296a3d79dd8b7a3c725fbf57009156116defc,Set Döner,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115222500684944008397/photos"">Alex Malaeck</a>'], 'photo_reference': 'CmRaAAAAaaIRaaNlButiWtu6CfAcR7WESvyWQoaKrCjqy1brjz32ILqNCOePCto-tGgpbkUFacN16q-_JC6PmyWXT0YROJ27sQMFaM1aGpQm238dd0Nj5-HRoc_IDlqVbCq_PiwmEhB41XM_KF0NkUp2sF37JhArGhR2MXJUW3WwM8fdpheXBvC90gR4JA', 'width': 2240}]",ChIJJ-ioTaklv0cRWP44LV5McNo,"WWPX+RX Cologne, Germany",9F28WWPX+RX,,2.9,ChIJJ-ioTaklv0cRWP44LV5McNo,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",47,"Krebsgasse 12, Köln"
4,50.9611359,7.006318899999999,50.96244757989272,7.007600129892721,50.95974792010727,7.004900470107277,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,5e4e24b4d771b40385b6b3825a6992b86f74e8a4,Sams Mexican Döner,False,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106260191516396386011/photos"">Elmar Dobmeier</a>'], 'photo_reference': 'CmRaAAAAzdxYBL4B0rJ8-8ME6oQuERyDZnbosZQgNq5Q2cRc1AO0qU-9ZWNgJa7wKhAtSthhCsfd6YMK6egPQwjyNoGaLxM2gsbacOxcBYSPWgeo6QjXyshyQLUdz-QvHu_aSgr4EhCBPZKK9QWFngxv69VSinTUGhTP2aS-ZuavTKatGOC-UMsY9_ft5w', 'width': 4032}]",ChIJ0fzo_wYmv0cRqX_fS1Q_m2Y,"X264+FG Cologne, Germany",9F29X264+FG,,4.4,ChIJ0fzo_wYmv0cRqX_fS1Q_m2Y,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",97,"B8 15, Köln"
5,50.9383873,6.977870900000001,50.93973247989272,6.979283729892722,50.93703282010727,6.976584070107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,701d4541f6cdfe460acdd47b3894728de7087051,Pizza & Döner Mediterrane,False,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111596737518729233370/photos"">Florian Schuster</a>'], 'photo_reference': 'CmRaAAAADMDgqtaquAi0kJyrGZjugPfBQzSo7Tx9DWpKuEtWkqAFRqH-OzbVuc9r-WzAphbb3PZEHtR-pEoeZw3ZhkhMxqD9UAVNdFljzoEe0FEds7sM4LhDWyqSAgPP5a4ESa7DEhA2P1I4NwG7rGvNqJU8tfhmGhSaM4CeDJ2j78luwotnOOr5IfZPBw', 'width': 3120}]",ChIJzS_cOc8lv0cR0U5uaErXjn0,"WXQH+94 Cologne, Germany",9F28WXQH+94,1.0,4.3,ChIJzS_cOc8lv0cR0U5uaErXjn0,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",178,"Justinianstraße 13, Köln"
6,50.94863489999999,6.9493022,50.95002717989271,6.950610679892723,50.94732752010727,6.947911020107279,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,d58b709af4f59951bfbaf004a65f97eead69b49a,Döner King,False,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112995587627968247939/photos"">Iakovos Vasileiadis</a>'], 'photo_reference': 'CmRaAAAAfvGTmFoIRBLW6VC0AR9l0moLV0KzRVFsACtqVtJONtdk6YUbW5hl3SzryXS_bP0MvVQtmyRmQfrDbu8uZr8NwdSRSfLT52aByNH3ZTuO_siSuxsuhKoB2_OAPzgoSSjqEhD5up3AZCKbH46N0UYAlO0fGhTTz7YZB-78NafIc6L3vOBRXAX8Mw', 'width': 1836}]",ChIJr7yW5KAlv0cRKgi0E7cAOss,"WWXX+FP Cologne, Germany",9F28WWXX+FP,1.0,3.8,ChIJr7yW5KAlv0cRKgi0E7cAOss,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",55,"Maybachstraße 100, Köln"
7,50.950612,7.0042908,50.95201417989272,7.005610579892721,50.94931452010728,7.002910920107277,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,7fb616ef4eb8e56ba5fe40e63d477a1e05fcb769,Dost Döner Pizzeria Köln Buchforst,False,"[{'height': 1932, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105450426973153328750/photos"">Dost Döner Pizzeria</a>'], 'photo_reference': 'CmRaAAAAdBHSqB5UH-_KSet2MZaze-Lob5VCoZKQT-kzuUVnEgLJ49ApmZpFfeY1eSUnXImqu-lk-unNfUKmOoDKTLoG69ea5LeQztuinpvHUvXhzHbYjNQ9EF6-KnIuXLKDWVUQEhBYO9jgor3rW0e3E68XGgOXGhRo_M7wDQKYxRxYnHqG8qqx-2Hnvw', 'width': 2576}]",ChIJxV1aDgsmv0cRaZpujh2NSlI,"X223+6P Cologne, Germany",9F29X223+6P,1.0,4.5,ChIJxV1aDgsmv0cRaZpujh2NSlI,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",142,"Heidelberger Straße 24 Mühlheim, Köln"
8,50.9367289,6.9601222,50.93808067989272,6.961570629892722,50.93538102010727,6.958870970107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,b122cbb5c085f0457c474d095e36ebbdd78cf95e,Döner Kebap,True,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105401325625958420219/photos"">Olga Trapeznikova</a>'], 'photo_reference': 'CmRaAAAAosXaeHQXOt5xBu7829-dsdtegq22ZFLLc1NwpVxMLl3aokpssEPIc-oJy3F6lMzRZe-ugv0TC7J7qPlldJetXhB76bhh2W9YMMEctYukjyQ7bxqcswrwt9yhpIF6-BuyEhC0KU-AlJAdZxMSucYPMgSwGhSVEdINZTgQA-dKlIINFaalubGHgQ', 'width': 3024}]",ChIJq5pPdLElv0cRAmeedJJZlFM,"WXP6+M2 Cologne, Germany",9F28WXP6+M2,,2.5,ChIJq5pPdLElv0cRAmeedJJZlFM,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",71,"Heumarkt 63, Köln"
9,50.9568884,7.011836799999999,50.95828117989272,7.013260179892721,50.95558152010728,7.010560520107277,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,c31c99c6cecf23bc9d24651eee2408b7eca9ac1b,Yebi Döner,False,"[{'height': 2384, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109212708509779432009/photos"">A Google User</a>'], 'photo_reference': 'CmRaAAAAQ3eBqiMU_K38CwPx5d_Maje6gh2QYZ8y79-sOCxjA1RhX_kJ4ZGGHSE8TP7UOinpbE8XcyFNrLDMdZe4cRy1ecyzmISuGdRyp3pZW3j5KgUMtnQVGff2F9fz5OpSl_u3EhCFJXCIgevwwB8Ks25kUAIpGhT23Am1rbW9iHQSybkQn_EAQhv6AQ', 'width': 4240}]",ChIJ0W8PpQ8mv0cR3zUsKEMbHBI,"X246+QP Cologne, Germany",9F29X246+QP,1.0,4.9,ChIJ0W8PpQ8mv0cR3zUsKEMbHBI,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",28,"Frankfurter Str. 88b, Köln"
